Protocolo,Data,Assunto,Situação,Regime,Autoria
00931/2023,19/04/2023,"INDICAÇÃO Nº 325/2023 - READEQUAÇÃO NO HORÁRIO DO TRANSPORTE ESCOLAR, ATRAVÉS DA MM SOUZA, DOS ALUNOS QUE ESTUDAM NA ESCOLA ESTADUAL WALDEMAR THOMAZINE.",Não Especificado,,THIAGO JUNIOR ANESIO BRAGGION
00930/2023,19/04/2023,INDICAÇÃO Nº 324/2023 - TAPA-BURACO EM TODA EXTENSÃO DA RUA VEREADOR CHERUBIM SAMPAIO FILHO.,Não Especificado,,THIAGO JUNIOR ANESIO BRAGGION
00929/2023,19/04/2023,"INDICAÇÃO Nº 323/2023 -  TAPA-BURACO EM TODA EXTENSÃO DA RUA PADRE JOSÉ BONIFÁCIO CARRETA, NO BAIRRO NOVA CAPI.",Não Especificado,,THIAGO JUNIOR ANESIO BRAGGION
00927/2023,19/04/2023,"REQUERIMENTO N° 138/2023, DA VEREADORA PALOMA TATIANE DA SILVA AO EXCELENTÍSSIMO PREFEITO, SOLICITANDO INFORMAÇÕES SOBRE EFETUAR O PAGAMENTO DO VALE DIÁRIA, OFERTADO AOS MOTORISTA DA SAÚDE, SEM PASSAR PELA FOLHA DE PAGAMENTO.",Não Especificado,,PALOMA TATIANE DA SILVA
00926/2023,19/04/2023,"REQUERIMENTO N° 137/2023, DA VEREADORA PALOMA TATIANE DA SILVA AO EXCELENTÍSSIMO PREFEITO, REQUERENDO QUE, ATRAVÉS DO SAAE - SERVIÇO AUTÔNOMO DE ÁGUA E ESGOTO, INFORME SOBRE A LIMPEZA DE FOSSAS.",Não Especificado,,PALOMA TATIANE DA SILVA
00907/2023,14/04/2023,REQUERIMENTO CÓPIAS DE DOCUMENTOS,Não Especificado,,BRUNA PASCOLI BRINATTI DE SOUZA
00904/2023,13/04/2023,"INDICAÇÃO 322/2023 - a)	LIMPEZA NA PASSARELA E PODA DAS ÁRVORES SOBRE A PONTE JOÃO AGRIPINO MAIA SOBRINHO, NO BAIRRO RIBEIRÃO.",Não Especificado,,MARCOS SABINO FERNANDES
00903/2023,13/04/2023,INDICAÇÃO 321/2023 - PODA DE ÁRVORES DA RUA NOEL ROSA NO BAIRRO MORADA DO SOL.,Não Especificado,,PALOMA TATIANE DA SILVA
00902/2023,13/04/2023,INDICAÇÃO 320/2023 - ILUMINAÇÃO NO CANTEIRO CENTRAL DA AVENIDA PIRATININGA NO TRECHO ENTRE A AVENIDA JOSÉ ANNICCHINO E A RUA ISMAEL BUENO DE OLIVEIRA.,Não Especificado,,ODÉSIO DE JESUS FERRAZ
00901/2023,13/04/2023,"INDICAÇÃO 319/2023 - PODA DE ÁRVORES EM TODA EXTENSÃO DA RUA PEDRO ALVES, NO BAIRRO SÃO MARCOS.",Não Especificado,,ODÉSIO DE JESUS FERRAZ
00900/2023,13/04/2023,INDICAÇÃO 318/2023 - MANUTENÇÃO NA ESTRADA DE SERVIDÃO DO BAIRRO MORRO AMARELO.,Não Especificado,,ODÉSIO DE JESUS FERRAZ
00899/2023,13/04/2023,"REQUERIMENTO N° 136/2023, DO VEREADOR ODÉSIO DE JESUS FERRAZ, AO EXCELENTÍSSIMO PREFEITO, SOLICITANDO INFORMAÇÕES SOBRE O CUMPRIMENTO DA LEI 2.507/1997, QUE DISPÕES SOBRE OBRIGATORIEDADE DE LIMPEZA E CAPINAÇÃO DE TERRENOS.",Não Especificado,,ODÉSIO DE JESUS FERRAZ
00897/2023,13/04/2023,"PROJETO DE LEI Nº 007/2023, DO PODER LEGISLATIVO MUNICIPAL, DE AUTORIA DA MESA DIRETORA, QUE AUTORIZA A CÂMARA MUNICIPAL DE CAPIVARI A CELEBRAR CONVÊNIO COM O CENTRO DE INTEGRAÇÃO EMPRESA-ESCOLA (CIEE), PARA A CONCESSÃO DE OPORTUNIDADES DE ESTÁGIO REMUNERADO A ESTUDANTES DE NÍVEL SUPERIOR, DE CURSOS PROFISSIONALIZANTES E ENSINO MÉDIO. CONSUBSTANCIADO NA JUSTIFICATIVA ANEXA.",Não Especificado,,Mesa Diretora 2021/2022
00896/2023,13/04/2023,"PROJETO DE LEI Nº 006/2023, DO PODER LEGISLATIVO MUNICIPAL, DE AUTORIA DA MESA DIRETORA, QUE DISPÕE SOBRE A RATIFICAÇÃO E CONSOLIDAÇÃO DA CRIAÇÃO DA FUNÇÃO GRATIFICADA DE RESPONSÁVEL PELO ALMOXARIFADO, DE RESPONSÁVEL POR COMPRAS, E DE GESTOR DE CONTRATOS, NA CÂMARA MUNICIPAL DE CAPIVARI. CONSUBSTANCIADO NA JUSTIFICATIVA ANEXA.",Não Especificado,,Mesa Diretora 2021/2022
00895/2023,13/04/2023,"PROJETO DE LEI Nº 004/2023, DO PODER LEGISLATIVO MUNICIPAL, DE AUTORIA DA MESA DIRETORA, QUE DISPÕE SOBRE A CONSOLIDAÇÃO E ATUALIZAÇÃO DA ESTRUTURA ADMINISTRATIVA DA CÂMARA MUNICIPAL DE CAPIVARI. CONSUBSTANCIADO NA JUSTIFICATIVA ANEXA.",Não Especificado,,Mesa Diretora 2021/2022
00894/2023,12/04/2023,"PROJETO DE LEI Nº 005/2023, DO PODER LEGISLATIVO MUNICIPAL, DE AUTORIA DA MESA DIRETORA, QUE DISPÕE SOBRE A RATIFICAÇÃO E CONSOLIDAÇÃO DA GRATIFICAÇÃO PAGA AOS MEMBROS DAS COMISSÕES PERMANENTES DE SINDICÂNCIA, LICITAÇÃO, PREGOEIRO E EQUIPE DE APOIO. CONSUBSTANCIADO NA JUSTIFICATIVA ANEXA.",Não Especificado,,Mesa Diretora 2021/2022
00881/2023,12/04/2023,"MOÇÃO DE APELO Nº 053/2023, DE AUTORIA DO VEREADOR THIAGO 	JÚNIOR ANESIO BRAGGION, COM APOIO DOS DEMAIS PARES, AO 	GOVERNADOR TARCÍSIO GOMES DE FREITAS, AO SECRETÁRIO DE 	SEGURANÇA GUILHERME DERRITE, E AO SECRETÁRIO DE EDUCAÇÃO 	RENATO FEDER, PARA QUE VIABILIZEM O REFORÇO DE SEGURANÇA 	NAS ESCOLAS PÚBLICAS.",Não Especificado,,THIAGO JUNIOR ANESIO BRAGGION
00880/2023,12/04/2023,"MOÇÃO DE APELO Nº 052/2023, DE AUTORIA DO VEREADOR THIAGO 	JÚNIOR ANESIO BRAGGION, COM APOIO DOS DEMAIS PARES, AO 	GOVERNADOR TARCÍSIO DE FREITAS, PARA AQUISIÇÃO E INSTALAÇÃO 	DE DETECTORES DE METAIS, NAS ENTRADAS DAS ESCOLAS PÚBLICAS 	ESTADUAIS.",Não Especificado,,THIAGO JUNIOR ANESIO BRAGGION
00879/2023,12/04/2023,"MOÇÃO DE APLAUSOS Nº 051/2023, DE AUTORIA DO VEREADOR JOSÉ EDUARDO DE CAMPOS PACHECO, COM APOIO DOS DEMAIS PARES, AO DEPUTADO RAFA ZIMBALDI PELA ELABORAÇÃO E APROVAÇÃO DO PROJETO DE LEI QUE VISA A INSTALAÇÃO DO BOTÃO DE PÂNICO EM TODAS AS ESCOLAS DA REDE PÚBLICA E PRIVADA DO ESTADO.",Não Especificado,,JOSÉ EDUARDO DE CAMPOS PACHECO
00878/2023,12/04/2023,"MOÇÃO DE CONGRATULAÇÕES Nº 050/2023, DE AUTORIA DO VEREADOR 	JOSÉ 	EDUARDO DE CAMPOS PACHECO, COM APOIO DOS DEMAIS PARES, 	A 	ACIC, PELOS 79 ANOS DE FUNDAÇÃO.",Não Especificado,,JOSÉ EDUARDO DE CAMPOS PACHECO
00877/2023,12/04/2023,"MOÇÃO DE CONGRATULAÇÕES Nº 049/2023, DE AUTORIA DO VEREADOR JOSÉ EDUARDO BOMBONATTI, COM APOIO DOS DEMAIS PARES, A TODOS OS VICENTINOS E COLABORADORES DO LAR SÃO VICENTE DE PAULA, AQUI REPRESENTADO POR SEU PRESIDENTE LUIS FRANCISCO LEITE DE MORAES.",Não Especificado,,JOSÉ EDUARDO BOMBONATTI
00876/2023,12/04/2023,"INDICAÇÃO 317/2023 - PROJETO ""GINCANA"" ENTRE OS ALUNOS DAS ESCOLAS MUNICIPAIS DE CAPIVARI.",Não Especificado,,INÊS LUIZA FELIX DA COSTA
00875/2023,12/04/2023,"INDICAÇÃO 316/2023 - MELHORIAS NO PRÉDIO DO POSTO DE SAÚDE OVÍDIO ANTÔNIO GUIDETTI, NO BAIRRO ENGENHO VELHO.",Não Especificado,,INÊS LUIZA FELIX DA COSTA
00874/2023,12/04/2023,INDICAÇÃO 315/2023 - INSTALAÇÃO DE PORTA ELETRÔNICA COM DETECTOR DE METAIS EM TODAS ESCOLAS MUNICIPAIS.,Não Especificado,,"RUAN HENRIQUE PELLEGRINI BRAGGION, VINÍCIUS SCARSO"
00873/2023,12/04/2023,"INDICAÇÃO 314/2023 - VIABILIZAR ATRAVÉS DO GOVERNO DO ESTADO DE SÃO PAULO, RONDAS OSTENSIVAS DA POLICIAL MILITAR, NAS ESCOLAS ESTADUAIS, DE CAPIVARI.",Não Especificado,,"RUAN HENRIQUE PELLEGRINI BRAGGION, VINÍCIUS SCARSO"
00872/2023,12/04/2023,"INDICAÇÃO 313/2023 - DISPONIBILIZAR EM LOCAIS PÚBLICOS A IDENTIFICAÇÃO DE PREFERENCIAL, PARA PESSOAS COM FIBROMIALGIA.",Não Especificado,,"DENILTON ROCHA DOS SANTOS, PALOMA TATIANE DA SILVA"
00871/2023,12/04/2023,"INDICAÇÃO 312/2023 -INSTALAÇÃO DE BARREIRAS DE CIMENTO, NA ESQUINA DA RUA DA GLÓRIA COM A RUA AMADEU AMARAL, NO BAIRRO SÃO LUÍS.",Não Especificado,,PALOMA TATIANE DA SILVA
00870/2023,12/04/2023,INDICAÇÃO 311/2023 - REALIZAR EXAMES DE PAPANICOLAU DURANTE A CONSULTA COM O GINECOLOGISTA.,Não Especificado,,PALOMA TATIANE DA SILVA
00869/2023,12/04/2023,INDICAÇÃO 310/2023 - CONSERTO E/OU INSTALAÇÃO DAS CAMPAINHAS OU INTERFONE DAS ESCOLAS E CRECHES DO MUNICÍPIO.,Não Especificado,,PALOMA TATIANE DA SILVA
00868/2023,12/04/2023,"INDICAÇÃO 309/2023 - CONTRATAÇÃO DE UMA EMPRESA DE SEGURANÇA, PARA ATENDER TODAS AS ESCOLAS E CRECHES DO MUNICÍPIO.",Não Especificado,,PALOMA TATIANE DA SILVA
00867/2023,12/04/2023,"REQUERIMENTO N° 135/2023, DO VEREADOR VINÍCIUS SCARSO, AO EXCELENTÍSSIMO PREFEITO, SOLICITANDO INFORMAÇÕES SOBRE PARCERIA PÚBLICO-PRIVADA COM A AGENCIA PAULISTA DE HABITAÇÃO SOCIAL - CASA PAULISTA.",Não Especificado,,VINÍCIUS SCARSO
00866/2023,12/04/2023,"REQUERIMENTO N° 134/2023, DO VEREADOR VINÍCIUS SCARSO, AO EXCELENTÍSSIMO PREFEITO, SOLICITANDO INFORMAÇÕES SOBRE A PARTICIPAÇÃO DO MUNICÍPIO NO PROGRAMA MINHA CASA MINHA VIDA.",Não Especificado,,VINÍCIUS SCARSO
00865/2023,12/04/2023,"REQUERIMENTO N° 133/2023, DO VEREADOR JOSÉ EDUARDO BOMBONATTI, AO EXCELENTÍSSIMO PREFEITO, SOLICITANDO INFORMAÇÕES SOBRE O AUMENTO DO EFETIVO DA GUARDA CIVIL MUNICIPAL.",Não Especificado,,JOSÉ EDUARDO BOMBONATTI
00864/2023,12/04/2023,"REQUERIMENTO N° 132/2023, DO VEREADOR JOSÉ EDUARDO BOMBONATTI, AO EXCELENTÍSSIMO PREFEITO, SOLICITANDO INFORMAÇÕES SOBRE A ÁREA ONDE ESTÁ LOCALIZADOS O PARQUE ECOLÓGICO MURILO FERREIRA CARNICELLI.",Não Especificado,,JOSÉ EDUARDO BOMBONATTI
00863/2023,12/04/2023,"REQUERIMENTO N° 131/2023, DOS VEREADORES DENILTON ROCHA DOS SANTOS E PALOMA TATIANE DA SILVA, AO EXCELENTÍSSIMO PREFEITO, SOLICITANDO INFORMAÇÕES SOBRE O CUMPRIMENTO DA LEI DE ATENDIMENTO PREFERENCIAL ÀS PESSOAS COM FIBROMIALGIA",Não Especificado,,"DENILTON ROCHA DOS SANTOS, PALOMA TATIANE DA SILVA"
00862/2023,12/04/2023,"REQUERIMENTO N° 130/2023, DA VEREADORA PALOMA TATIANE DA SILVA, AO EXCELENTÍSSIMO PREFEITO, SOLICITANDO INFORMAÇÕES SOBRE REALIZAÇÃO O EXAME DE PAPANICOLAU.",Não Especificado,,PALOMA TATIANE DA SILVA
00861/2023,12/04/2023,"REQUERIMENTO N° 129/2023, DA VEREADORA PALOMA TATIANE DA SILVA, AO EXCELENTÍSSIMO PREFEITO, SOLICITANDO INFORMAÇÕES SOBRE PLANEJAMENTO DE SEGURANÇA NAS ESCOLAS E CRECHES DO MUNICÍPIO.",Não Especificado,,PALOMA TATIANE DA SILVA
00860/2023,12/04/2023,"REQUERIMENTO N° 128/2023, DA VEREADORA JEISELE RENATA ROSADA, AO EXCELENTÍSSIMO PREFEITO, SOLICITANDO INFORMAÇÕES SOBRE MÉDICOS QUE ATENDEM NA REGULAÇÃO PARA AVALIAR OS CASOS CIRÚRGICOS, DE CONSULTAS E EXAMES.",Não Especificado,,JEISELE RENATA ROSADA
00859/2023,12/04/2023,"REQUERIMENTO N° 127/2023, DA VEREADORA JEISELE RENATA ROSADA, AO EXCELENTÍSSIMO PREFEITO, SOLICITANDO INFORMAÇÕES SOBRE DIRETRIZES DISPONÍVEIS NA REDE MUNICIPAL DE SAÚDE, PARA O TRATAMENTO DE CÂNCER.",Não Especificado,,JEISELE RENATA ROSADA
00858/2023,12/04/2023,"REQUERIMENTO N° 126/2023, DA VEREADORA JEISELE RENATA ROSADA, AO EXCELENTÍSSIMO PREFEITO, SOLICITANDO INFORMAÇÕES SOBRE A IMPLEMENTAÇÃO DA LEI DE PLANEJAMENTO FAMILIAR NO MUNICÍPIO.",Não Especificado,,JEISELE RENATA ROSADA
00857/2023,12/04/2023,"REQUERIMENTO N° 125/2023, DA VEREADORA JEISELE RENATA ROSADA, AO EXCELENTÍSSIMO PREFEITO, SOLICITANDO INFORMAÇÕES SOBRE CRONOGRAMA DE TAPA-BURACO.",Não Especificado,,JEISELE RENATA ROSADA
00856/2023,12/04/2023,"REQUERIMENTO N° 124/2023, DA VEREADORA JEISELE RENATA ROSADA, AO EXCELENTÍSSIMO PREFEITO, SOLICITANDO INFORMAÇÕES SOBRE CIRURGIAS ELETIVAS VIA CROSS - CENTRAL DE REGULAÇÃO DE OFERTAS DE SERVIÇOS DE SAÚDE.",Não Especificado,,JEISELE RENATA ROSADA
00855/2023,12/04/2023,"REQUERIMENTO N° 123/2023, DO VEREADOR THIAGO JÚNIOR ANESIO BRAGGION, AO EXCELENTÍSSIMO PREFEITO, SOLICITANDO INFORMAÇÕES SOBRE MULTAS APLICADAS ATRAVÉS DO ESTACIONAMENTO ROTATIVO ""ZONA AZUL"".",Não Especificado,,THIAGO JUNIOR ANESIO BRAGGION
00854/2023,12/04/2023,"PROJETO DE LEI Nº 008/2023, DO PODER LEGISLATIVO MUNICIPAL, DE AUTORIA DA VEREADORA INÊS LUÍSA FÉLIX DA COSTA, QUE OFICIALIZA E DÁ DENOMINAÇÃO DE ""LUCIANO PELLEGRINI NETO"", O BOSQUE LOCALIZADO PRÓXIMO A PONTE DA RUA ANDRÉ DE MELO (PONTE DO SANTORO). CONSUBSTANCIADO NA JUSTIFICATIVA ANEXA.",Não Especificado,,INÊS LUIZA FELIX DA COSTA
00834/2023,06/04/2023,"01)	REQUERIMENTO DE URGÊNCIA ESPECIAL Nº 01/2022, DAS COMISSÕES DE JUSTIÇA E REDAÇÃO E DE FINANÇAS E ORÇAMENTO, AO EXCELENTÍSSIMO PRESIDENTE DA CÂMARA MUNICIPAL DE CAPIVARI, REQUERENDO A TRAMITAÇÃO EM URGÊNCIA ESPECIAL DO PROJETO DE LEI º 003/2023, DO PODER LEGISLATIVO MUNICIPAL.",Não Especificado,,"COMISSÃO DE JUSTIÇA E REDAÇÃO 2021-2022, COMISSÃO DE FINANÇAS E ORÇAMENTO"
00833/2023,06/04/2023,"MOÇÃO DE PESAR Nº 048/2023, DE AUTORIA DO VEREADOR THIAGO JÚNIOR ANESIO BRAGGION, COM APOIO DOS DEMAIS PARES, AOS FAMILIARES DA SENHORA LUZIA BUENO DE CAMARGO TRAVAIOLI.",Não Especificado,,THIAGO JUNIOR ANESIO BRAGGION
00832/2023,06/04/2023,"MOÇÃO DE APELO Nº 047/2023, DE AUTORIA DO VEREADOR THIAGO JÚNIOR ANESIO BRAGGION, COM APOIO DOS DEMAIS PARES, AO GOVERNADOR TARCÍSIO DE FREITAS, PARA RETORNAR COM O PROGRAMA CODASP -COMPANHIA DE DESENVOLVIMENTO AGRÍCOLA DO ESTADO DE SÃO PAULO.",Não Especificado,,THIAGO JUNIOR ANESIO BRAGGION
00831/2023,06/04/2023,"MOÇÃO DE APLAUSOS Nº 046/2023, DE AUTORIA DO VEREADOR THIAGO JÚNIOR ANESIO BRAGGION, COM APOIO DOS DEMAIS PARES, A SENHORA MIRIAN RIBEIRO LEITE CARDOSO, POR SUA CONTRIBUIÇÃO NO ENSINO PÚBLICO DE CAPIVARI.",Não Especificado,,THIAGO JUNIOR ANESIO BRAGGION
00830/2023,06/04/2023,"MOÇÃO DE APLAUSOS Nº 045/2023, DE AUTORIA DO VEREADOR THIAGO JÚNIOR ANESIO BRAGGION, COM APOIO DOS DEMAIS PARES, AO SENHOR JOSÉ LUÍS GAGLIARDI E A TODOS OS VOLUNTÁRIOS DO RESTAURANTE ""PRATO CARENTE"".",Não Especificado,,THIAGO JUNIOR ANESIO BRAGGION
00829/2023,06/04/2023,INDICAÇÃO 308/2023 - INSTALAÇÃO DE CÂMERAS DE MONITORAMENTO NAS CRECHES E ESCOLAS PÚBLICAS MUNICIPAIS.,Não Especificado,,THIAGO JUNIOR ANESIO BRAGGION
00828/2023,06/04/2023,INDICAÇÃO 307/2023 - DISPONIBILIZAR MAIS ÔNIBUS ESCOLARES PARA BUSCAR OS ALUNOS QUE MORAM NA ÁREA RURAL DO MUNICÍPIO.,Não Especificado,,THIAGO JUNIOR ANESIO BRAGGION
00827/2023,06/04/2023,"INDICAÇÃO 306/2023 - CRIAÇÃO DE UM PLANO ESPECÍFICO VISANDO A SEGURANÇA NAS ESCOLAS E AS CRECHES, COM DEFINIÇÃO DO QUADRO DE SERVIDORES DA GUARDA CIVIL MUNICIPAL E RESPECTIVA ESCALA DE SERVIÇO PARA ATENDER AS UNIDADES EDUCACIONAIS.",Não Especificado,,THIAGO JUNIOR ANESIO BRAGGION
00826/2023,06/04/2023,"INDICAÇÃO 305/2023 - REVITALIZAÇÃO DA ÁREA PÚBLICA, ONDE ABRIGAVA O ANTIGO VIVEIRO DE MUDAS DA PREFEITURA, NO BAIRRO BOSQUE DOS PINHEIROS.",Não Especificado,,INÊS LUIZA FELIX DA COSTA
00825/2023,06/04/2023,"INDICAÇÃO 304/2023 - AVALIAR A FORMAÇÃO DE UM BURACO NA RUA JÁCOMO SCHINCARIOL, NO BAIRRO SANTO ANTÔNIO.",Não Especificado,,ELISSANDRO DA SILVA LEITE - SANDRO MODAS
00824/2023,06/04/2023,"INDICAÇÃO 303/2023 - OPERAÇÃO TAPA-BURACO NA RUA HENRIQUE PURGATTO EM FRENTE AO NÚMERO 266, NO BAIRRO MORADA DO SOL.",Não Especificado,,ELISSANDRO DA SILVA LEITE - SANDRO MODAS
00823/2023,06/04/2023,INDICAÇÃO 302/2023 - AQUISIÇÃO DE NOVAS CARTEIRAS E CADEIRAS PARA OS ALUNOS DA ESCOLA MUNICIPAL AUGUSTO CASTANHO.,Não Especificado,,ELISSANDRO DA SILVA LEITE - SANDRO MODAS
00822/2023,06/04/2023,"INDICAÇÃO 301/2023 - MANUTENÇÃO NA TAMPA DO BUEIRO, EXISTENTE NO PONTO DE ÔNIBUS NA AVENIDA JOSÉ ANNICCHINO, NA ALTURA DO BAIRRO MORETO.",Não Especificado,,PALOMA TATIANE DA SILVA
00821/2023,06/04/2023,"INDICAÇÃO 300/2023 - IMPLANTAÇÃO DE ÁREA DE LAZER E RECREAÇÃO COMPLETA, NA ÁREA VERDE DA RUA ELISABETH ARMELIN, NO BAIRRO GENOVA.",Não Especificado,,PALOMA TATIANE DA SILVA
00820/2023,06/04/2023,"INDICAÇÃO 299/2023 - MANUTENÇÃO DA CALÇADA DOS DOIS LADOS DA PONTE, LOCALIZADA NA RUA FRANKLINA DE ALMEIDA BARROS.",Não Especificado,,PALOMA TATIANE DA SILVA
00819/2023,06/04/2023,"INDICAÇÃO 298/2023 - VISTORIA DA PONTE LOCALIZADA NA RUA FRANKLINA DE ALMEIDA BARROS, PRÓXIMO AO CENTRO VEICULAR ROMÁRIO DATTI.",Não Especificado,,PALOMA TATIANE DA SILVA
00818/2023,06/04/2023,"INDICAÇÃO 297/2023 - PODA DE ÁRVORES QUE ESTÃO NA CALÇADA E SOBRE A PONTE, LOCALIZADA DA RUA FRANKLINA DE ALMEIDA BARROS.",Não Especificado,,PALOMA TATIANE DA SILVA
00817/2023,06/04/2023,"INDICAÇÃO 296/2023 - DESENVOLVER PROGRAMAS VOLTADO A CONSCIENTIZAÇÃO, NO COMBATE AO BULLYING, VIOLÊNCIA E ATAQUES, NAS ESCOLAS MUNICIPAIS.",Não Especificado,,PALOMA TATIANE DA SILVA
00816/2023,06/04/2023,"INDICAÇÃO 295/2023 - DISPONIBILIZAR UMA AMBULÂNCIA PARA ATENDIMENTO EMERGENCIAL, NO POSTO DE SAÚDE DOUTOR MARIO DIAS DE AGUIAR.",Não Especificado,,PALOMA TATIANE DA SILVA
00815/2023,06/04/2023,"REQUERIMENTO N° 122/2023, DA VEREADORA PALOMA TATIANE DA SILVA, AO EXCELENTÍSSIMO PREFEITO, SOLICITANDO INFORMAÇÕES SOBRE CONSTRUÇÃO DE ESTAÇÃO DE TRATAMENTO DE ESGOTO, ESTAÇÃO DE TRATAMENTO DE ÁGUA.",Não Especificado,,PALOMA TATIANE DA SILVA
00814/2023,06/04/2023,"REQUERIMENTO N° 121/2023, DO VEREADOR THIAGO JÚNIOR ANESIO BRAGGION, AO EXCELENTÍSSIMO PREFEITO, SOLICITANDO INFORMAÇÕES SOBRE DISPOSITIVO DE SEGURANÇA NAS ESCOLAS E CRECHE DO MUNICÍPIO.",Não Especificado,,THIAGO JUNIOR ANESIO BRAGGION
00813/2023,06/04/2023,"REQUERIMENTO N° 120/2023, DO VEREADOR THIAGO JÚNIOR ANESIO BRAGGION, AO EXCELENTÍSSIMO PREFEITO, SOLICITANDO INFORMAÇÕES SOBRE DISPONIBILIZAR MAIS ÔNIBUS ESCOLARES, PARA BUSCAR OS ALUNOS DA ÁREA RURAL DO MUNICÍPIO.",Não Especificado,,THIAGO JUNIOR ANESIO BRAGGION
00812/2023,06/04/2023,"REQUERIMENTO N° 119/2023, DOS VEREADORES ELISSANDRO DA SILVA LEITE (SANDRO MODAS) E JOSÉ EDUARDO BOMBONATTI, AO EXCELENTÍSSIMO 	PREFEITO, SOLICITANDO INFORMAÇÕES SOBRE O SERVIÇO DE PINTURA REALIZADO NA CRECHE DO BAIRRO JARDIM SANTA RITA DE CÁSSIA.",Não Especificado,,"ELISSANDRO DA SILVA LEITE - SANDRO MODAS, JOSÉ EDUARDO BOMBONATTI"
00811/2023,06/04/2023,"REQUERIMENTO N° 118/2023, DO VEREADOR JOSÉ EDUARDO BOMBONATTI, AO EXCELENTÍSSIMO PREFEITO, SOLICITANDO INFORMAÇÕES SOBRE DESASSOREAMENTO DO RIO CAPIVARI E DO CÓRREGO ""ÁGUA CHOCA"".",Não Especificado,,JOSÉ EDUARDO BOMBONATTI
00810/2023,06/04/2023,"REQUERIMENTO N° 117/2023, DO VEREADOR JOSÉ EDUARDO BOMBONATTI, AO EXCELENTÍSSIMO PREFEITO, SOLICITANDO INFORMAÇÕES SOBRE CASTRAÇÃO NO CCZ - CENTRO DE CONTROLE DE ZOONOSES.",Não Especificado,,JOSÉ EDUARDO BOMBONATTI
00809/2023,06/04/2023,"REQUERIMENTO N° 117/2023, DO VEREADOR JOSÉ EDUARDO BOMBONATTI, AO EXCELENTÍSSIMO PREFEITO, SOLICITANDO INFORMAÇÕES SOBRE CASTRAÇÃO NO CCZ - CENTRO DE CONTROLE DE ZOONOSES.",Não Especificado,,JOSÉ EDUARDO BOMBONATTI
00808/2023,06/04/2023,SOLICITAÇÃO DE PROVIDÊNCIAS NA SEGURANÇA DAS ESCOLAS DO MUN DE CAPIVARI,Não Especificado,,RAMON BORBA DE SOUZA
00792/2023,04/04/2023,SOLICITAÇÃO ATUALIZAÇÃO DO VALOR PAGO DE VALE TRANSPORTE,Não Especificado,,Débora Cristina dos Santos
00789/2023,31/03/2023,REQUERIMENTO DE CREDENCIAMENTO,Não Especificado,,JORNAL CORREIO DE CAPIVARI - EIRELI - ME
00788/2023,31/03/2023,REQUERIMENTO DE CREDENCIAMENTO,Não Especificado,,JORNAL DA CIDADE REGIONAL LTDA
00776/2023,30/03/2023,"MOÇÃO DE PESAR Nº 044/2023, DE AUTORIA DA VEREADORA INÊS LU[ISA FÉLIX DA COSTA, COM APOIO DOS DEMAIS PARES, PELO FALECIMENTO DO MONSENHOR JORGE SIMÃO.",Não Especificado,,INÊS LUIZA FELIX DA COSTA
00775/2023,30/03/2023,"MOÇÃO DE APELO Nº 043/2023, DE AUTORIA DO VEREADOR THIAGO JÚNIOR ANESIO BRAGGION, COM APOIO DOS DEMAIS PARES, AO GOVERNADOR DO ESTADO DE SÃO PAULO, AO VICE-GOVERNADOR, AO SECRETÁRIO DE SAÚDE DO ESTADO DE SÃO PAULO, E AO SECRETÁRIO DE GOVERNO E RELAÇÕES INSTITUCIONAIS, SOLICITANDO ESTUDOS PARA MELHORAR A OFERTA DE VAGAS NA REGIONALIZAÇÃO DA CENTRAL DE REGULAÇÃO DE VAGAS - CROSS.",Não Especificado,,THIAGO JUNIOR ANESIO BRAGGION
00774/2023,30/03/2023,"INDICAÇÃO 294/2023 - LIMPEZA E MANUTENÇÃO DA PRAÇA NOSSA SENHORA, NO BAIRRO VILA FÁTIMA.",Não Especificado,,"JOSÉ EDUARDO DE CAMPOS PACHECO, ODÉSIO DE JESUS FERRAZ"
00773/2023,30/03/2023,"INDICAÇÃO 293/2023 - CHAMPANHAS EDUCATIVAS SOBRE AS CONDUTAS PRATICADAS PELOS PEDESTRES, QUE SÃO CONSIDERADAS INFRACIONAIS.",Não Especificado,,THIAGO JUNIOR ANESIO BRAGGION
00772/2023,30/03/2023,"INDICAÇÃO 292/2023 - CADASTRAR CAPIVARI NO PROGRAMA ""VIVER MELHOR"", DA CDHU - COMPANHIA DE DESENVOLVIMENTO HABITACIONAL E URBANO DO ESTADO DE SÃO PAULO.",Não Especificado,,JOSÉ EDUARDO DE CAMPOS PACHECO
00771/2023,30/03/2023,INDICAÇÃO 291/2023 - LIMPEZA EM TODOS OS BUEIROS DO BAIRRO JARDIM IMPERIAL.,Não Especificado,,ELISSANDRO DA SILVA LEITE - SANDRO MODAS
00770/2023,30/03/2023,REQUERIMENTO DE ADICIONAL DE QUALIFICAÇÃO,Não Especificado,,CARLOS ALBERTO MORELLI
00769/2023,30/03/2023,INDICAÇÃO 290/2023 - CONSERTO DA REDE DE ESGOTO DO BAIRRO JARDIM TARSILA.,Não Especificado,,MARCOS SABINO FERNANDES
00768/2023,30/03/2023,INDICAÇÃO 289/2023 - OPERAÇÃO TAPA-BURACO POR TODO O BAIRRO SÃO LUÍS.,Não Especificado,,MARCOS SABINO FERNANDES
